"","Unique_ID","Codec","Bitrate","Resolution","Packet_Loss","SSIM","VMAF","MOS","sd_OS","fair_better"
"350",350,0,0,0,3,0.73221,55.6,2.833333333,0.375823014,0.1
"351",351,0,0,0,4,0.62468,47.73,2.583333333,0.497167116,1
"352",352,0,0,0,5,0.61991,27.06,2.3,0.53042995,1
"353",353,0,1,2,0,0.92561,89.03,3.2,0.403375587,0.783333333
"354",354,0,1,2,1,0.91861,89.09,3.233333333,0.563483917,0.833333333
"355",355,0,1,2,2,0.85548,80,2.066666667,0.685606664,0.583333333
"356",356,0,1,2,3,0.77068,68.19,1.466666667,0.503097749,0.333333333
"357",357,0,1,2,4,0.71785,44.44,1.266666667,0.445948491,1
"358",358,0,1,2,0,0.66128,44.55,1,0,0.933333333
"359",359,0,2,2,0,0.91146,88.79,2.416666667,0.497167116,0.266666667
"360",360,0,2,2,1,0.9065,88.21,2.366666667,0.485961101,0
"361",361,0,2,2,2,0.84322,82.04,1.9,0.602255647,0
"362",362,0,2,2,3,0.7487,70.54,1.466666667,0.535729082,0
"363",363,0,2,2,4,0.59582,65.96,1.233333333,0.426521868,0.416666667
"364",364,0,2,2,5,0.5602,59.65,1.05,0.219784178,0.366666667
"365",365,0,0,2,0,0.96528,95.31,3.1,0.30253169,0.133333333
"366",366,0,0,2,1,0.95121,94.85,2.866666667,0.342803332,0.016666667
"367",367,0,0,2,2,0.92114,89.02,2.416666667,0.561223442,0
"368",368,0,0,2,3,0.89833,85.95,1.916666667,0.59065223,0
"369",369,0,0,2,4,0.85892,80.67,1.65,0.546948391,1
"370",370,0,0,2,5,0.81596,73.58,1.583333333,0.497167116,0.866666667
"371",371,1,1,1,0,0.91224,87.61,1.933333333,0.406167147,0.45
"372",372,1,1,1,1,0.86164,37.95,1.766666667,0.426521868,0.133333333
"373",373,1,1,1,2,0.83038,36.04,1.466666667,0.503097749,0.033333333
"374",374,1,1,1,3,0.74212,27.28,1.2,0.403375587,0
"375",375,1,1,1,4,0.64277,25.7,1.133333333,0.342803332,0.05
"376",376,1,1,1,0,0.58414,20.34,1.083333333,0.278717807,0
"377",377,1,2,1,0,0.85347,78.55,1.816666667,0.469101798,0
"378",378,1,2,1,1,0.84003,78.01,1.866666667,0.46819765,0
"379",379,1,2,1,2,0.77818,67.95,1.5,0.504219484,0
"380",380,1,2,1,3,0.63769,21.39,1.166666667,0.375823014,0
"381",381,1,2,1,4,0.58651,16.19,1.066666667,0.251548874,0.033333333
"382",382,1,2,1,5,0.52423,11.96,1,0,0.05
"383",383,1,0,1,0,0.92978,91.05,2.633333333,0.485961101,0
"384",384,1,0,1,1,0.88117,90.36,2.333333333,0.475382689,0
"385",385,1,0,1,2,0.88579,74.89,1.833333333,0.375823014,0
"386",386,1,0,1,3,0.81189,62.57,1.55,0.501692052,0
"387",387,1,0,1,4,0.70928,40.79,1.133333333,0.342803332,0.633333333
"388",388,1,0,1,5,0.63819,36.03,1.066666667,0.251548874,0.333333333
"389",389,1,1,0,0,0.92668,89.56,2.083333333,0.423531027,0
"390",390,1,1,0,1,0.78855,79.82,2.033333333,0.485961101,0
"391",391,1,1,0,2,0.70032,39.29,1.666666667,0.628872186,0
"392",392,1,1,0,3,0.62459,30.42,1.5,0.504219484,0
"393",393,1,1,0,4,0.39493,24.58,1.05,0.219784178,0.133333333
"394",394,1,1,0,0,0.33301,18.32,1.05,0.219784178,0.133333333
"395",395,1,2,0,0,0.90735,84.11,2.283333333,0.584884942,0.083333333
"396",396,1,2,0,1,0.8055,69.1,2.066666667,0.516397779,0
"397",397,1,2,0,2,0.56544,39.08,1.366666667,0.485961101,0
"398",398,1,2,0,3,0.4768,30.34,1.233333333,0.426521868,0
"399",399,1,2,0,4,0.37591,23.55,1.066666667,0.251548874,0.35
"400",400,1,2,0,5,0.31447,18.19,1,0,0.166666667
"401",401,1,0,0,0,0.93915,91.58,2.366666667,0.581251329,0
"402",402,1,0,0,1,0.92906,90.01,2.333333333,0.542019659,0
"403",403,1,0,0,2,0.85686,77.61,2.25,0.540715157,0
"404",404,1,0,0,3,0.73221,65.06,1.583333333,0.530163603,0
"405",405,1,0,0,4,0.55534,40.07,1.266666667,0.445948491,0.416666667
"406",406,1,0,0,5,0.34578,20.07,1,0,0.366666667
"407",407,1,1,2,0,0.89777,89.07,2.466666667,0.503097749,0.3
"408",408,1,1,2,1,0.89419,88.46,2.45,0.534409226,0.016666667
"409",409,1,1,2,2,0.84844,82.67,1.9,0.629769934,0
"410",410,1,1,2,3,0.75182,72.24,1.466666667,0.503097749,0
"411",411,1,1,2,4,0.62396,59,1.049180328,0.21803895,0.466666667
"412",412,1,1,2,0,0.59166,55.35,1.033333333,0.181020335,0.466666667
"413",413,1,2,2,0,0.83729,85.11,2.45,0.501692052,0.15
"414",414,1,2,2,1,0.76016,77.58,2.216666667,0.454419603,0
"415",415,1,2,2,2,0.71494,53.08,1.8,0.443407453,0
"416",416,1,2,2,3,0.47204,34.33,1.2,0.403375587,0
"417",417,1,2,2,4,0.42121,34.33,1.033333333,0.181020335,0.45
"418",418,1,2,2,5,0.36162,26.47,1.033333333,0.181020335,0.233333333
"419",419,1,0,2,0,0.91172,89.97,2.816666667,0.503939284,0.016666667
"420",420,1,0,2,1,0.90998,89.8,2.466666667,0.503097749,0
"421",421,1,0,2,2,0.86665,85.03,2.366666667,0.551320961,0
"422",422,1,0,2,3,0.72004,71.95,2.05,0.387298335,0
"423",423,1,0,2,4,0.65369,63.59,1.666666667,0.542019659,0.766666667
"424",424,1,0,2,5,0.63888,59.72,1.1,0.30253169,0.466666667
